what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.context.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.core",1279083617359
started,bundle,org.eclipse.mylyn.context.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.ui",1279083617359
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1279083617359
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui",1279083617359
started,bundle,org.eclipse.mylyn.team.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.team.ui",1279083617359
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1279083617359
started,bundle,org.eclipse.team.core,3.5.100.I20100527-0800,"org.eclipse.team.core",1279083617359
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1279083617359
started,bundle,org.eclipse.team.cvs.ui,3.3.300.I20100526-0800,"org.eclipse.team.cvs.ui",1279083617359
started,bundle,org.eclipse.team.ui,3.5.100.I20100527-0800,"org.eclipse.team.ui",1279083617359
started,bundle,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui",1279083617359
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1279083617375
started,bundle,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.editors",1279083617375
started,bundle,org.eclipse.ui.forms,3.5.0.v20100427,"org.eclipse.ui.forms",1279083617375
started,bundle,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.ide",1279083617375
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1279083617375
started,bundle,org.eclipse.ui.intro.universal,3.2.400.v20100517,"org.eclipse.ui.intro.universal",1279083617375
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1279083617375
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1279083617375
started,bundle,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"org.eclipse.ui.workbench",1279083617375
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.workbench.texteditor",1279083617375
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1279083617375
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1279083617375
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1279083617375
os,sysinfo,,,"win32",1279083617390
arch,sysinfo,,,"x86",1279083617390
ws,sysinfo,,,"win32",1279083617390
locale,sysinfo,,,"en_US",1279083617390
processors,sysinfo,,,"1",1279083617390
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1279083617390
java.runtime.version,sysinfo,,,"1.6.0_21-b06",1279083617390
java.specification.name,sysinfo,,,"Java Platform API Specification",1279083617390
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1279083617390
java.specification.version,sysinfo,,,"1.6",1279083617390
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1279083617390
java.version,sysinfo,,,"1.6.0_21",1279083617390
java.vm.info,sysinfo,,,"mixed mode, sharing",1279083617390
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1279083617390
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1279083617390
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1279083617390
java.vm.specification.version,sysinfo,,,"1.0",1279083617390
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1279083617390
java.vm.version,sysinfo,,,"17.0-b16",1279083617390
